,Date,Adjusted Close
151,2022-09-30,96.15
152,2022-09-29,98.09
153,2022-09-28,100.74
154,2022-09-27,98.09
155,2022-09-26,98.81
156,2022-09-23,99.17
157,2022-09-22,100.57
158,2022-09-21,100.01
159,2022-09-20,101.83
160,2022-09-19,103.85
161,2022-09-16,103.63
162,2022-09-15,103.9
163,2022-09-14,105.87
164,2022-09-13,105.31
165,2022-09-12,111.87
166,2022-09-09,111.78
167,2022-09-08,109.42
168,2022-09-07,110.48
169,2022-09-06,107.48
170,2022-09-02,108.68
171,2022-09-01,110.55
172,2022-08-31,109.15
173,2022-08-30,109.91
174,2022-08-29,110.34
175,2022-08-26,111.3
176,2022-08-25,117.7
177,2022-08-24,114.7
178,2022-08-23,114.77
179,2022-08-22,115.07
180,2022-08-19,118.12
181,2022-08-18,120.86
182,2022-08-17,120.32
183,2022-08-16,122.51
184,2022-08-15,122.88
185,2022-08-12,122.65
186,2022-08-11,119.82
187,2022-08-10,120.65
188,2022-08-09,117.5
189,2022-08-08,118.14
190,2022-08-05,118.22
191,2022-08-04,118.87
192,2022-08-03,118.78
193,2022-08-02,115.9
194,2022-08-01,115.48
195,2022-07-29,116.64
196,2022-07-28,114.59
197,2022-07-27,113.6
198,2022-07-26,105.44
199,2022-07-25,108.21
200,2022-07-22,108.36
201,2022-07-21,115.04
202,2022-07-20,114.7
203,2022-07-19,114.62
204,2022-07-18,109.91
205,2022-07-15,112.767
206,2022-07-14,111.44
207,2022-07-13,112.187
208,2022-07-12,114.8495
209,2022-07-11,116.5225
210,2022-07-08,120.1685
211,2022-07-07,119.306
212,2022-07-06,115.2135
213,2022-07-05,113.887
214,2022-07-01,109.081
215,2022-06-30,109.3725
216,2022-06-29,112.2565
217,2022-06-28,112.5715
218,2022-06-27,116.6225
219,2022-06-24,118.538
220,2022-06-23,112.6845
221,2022-06-22,112.034
222,2022-06-21,112.015
223,2022-06-17,107.8655
224,2022-06-16,106.636
225,2022-06-15,110.3905
226,2022-06-14,107.194
227,2022-06-13,106.8765
228,2022-06-10,111.4275
229,2022-06-09,114.918
230,2022-06-08,117.238
231,2022-06-07,117.2295
232,2022-06-06,117.0105
233,2022-06-03,114.564
234,2022-06-02,117.746
235,2022-06-01,114.137
236,2022-05-31,114.039
237,2022-05-27,112.799
238,2022-05-26,108.296
239,2022-05-25,105.8395
240,2022-05-24,105.926
241,2022-05-23,111.6665
242,2022-05-20,109.313
243,2022-05-19,110.7455
244,2022-05-18,112.401
245,2022-05-17,116.7015
246,2022-05-16,114.7925
247,2022-05-13,116.5155
248,2022-05-12,113.161
249,2022-05-11,113.961
250,2022-05-10,114.5845
