,Date,Open,High,Close,Adjusted Close,Volume,Dividends
777,2021-06-11,126.53,127.44,127.35,126.049214373814,53522373.0,0.0
778,2021-06-14,127.82,130.54,130.48,129.147243749472,96906490.0,0.0
779,2021-06-15,129.94,130.6,129.64,128.315823725334,62746332.0,0.0
780,2021-06-16,130.37,130.89,130.15,128.820614454275,91339351.0,0.0
781,2021-06-17,129.8,132.55,131.79,130.443863072831,96721669.0,0.0
782,2021-06-18,130.71,131.51,130.46,129.127448034612,108953309.0,0.0
783,2021-06-21,130.3,132.41,132.3,130.948653801772,79663316.0,0.0
784,2021-06-22,132.13,134.08,133.98,132.611493850048,74783618.0,0.0
785,2021-06-23,133.77,134.32,133.7,132.334353842002,60214200.0,0.0
786,2021-06-24,134.45,134.64,133.41,132.047315976526,68710998.0,0.0
787,2021-06-25,133.46,133.89,133.11,131.750380253619,70783746.0,0.0
788,2021-06-28,133.41,135.245,134.78,133.403322444465,62111303.0,0.0
789,2021-06-29,134.8,136.49,136.33,134.937490346149,64556081.0,0.0
790,2021-06-30,136.17,137.41,136.96,135.561055364253,63261393.0,0.0
791,2021-07-01,136.6,137.33,137.27,135.86788894459,52485781.0,0.0
792,2021-07-02,137.9,140.0,139.96,138.530412593318,78945572.0,0.0
793,2021-07-06,140.07,143.15,142.02,140.569371223943,108181793.0,0.0
794,2021-07-07,143.535,144.89,144.57,143.093324868648,104911589.0,0.0
795,2021-07-08,141.58,144.06,143.24,141.776909830429,105575458.0,0.0
796,2021-07-09,142.75,145.65,145.11,143.62780916988,99890800.0,0.0
797,2021-07-12,146.21,146.32,144.5,143.024039866636,76299719.0,0.0
798,2021-07-13,144.03,147.46,145.64,144.152395613681,100827099.0,0.0
799,2021-07-14,148.1,149.57,149.15,147.626543571687,127050785.0,0.0
800,2021-07-15,149.24,150.0,148.48,146.963387123863,106820297.0,0.0
801,2021-07-16,148.46,149.76,146.39,144.894734920947,93251426.0,0.0
802,2021-07-19,143.75,144.07,142.45,140.994979093442,121434571.0,0.0
803,2021-07-20,143.46,147.0997,146.15,144.657186342622,96350036.0,0.0
804,2021-07-21,145.53,146.13,145.4,143.914847035356,74993460.0,0.0
805,2021-07-22,145.935,148.195,146.8,145.300547075586,77338156.0,0.0
806,2021-07-23,147.55,148.7177,148.56,147.042569983305,71447416.0,0.0
807,2021-07-26,148.27,149.83,148.99,147.468177852804,72434089.0,0.0
808,2021-07-27,149.12,149.21,146.77,145.270853503296,104818578.0,0.0
809,2021-07-28,144.81,146.97,144.98,143.499137023287,118931191.0,0.0
810,2021-07-29,144.685,146.55,145.64,144.152395613681,54323047.0,0.0
811,2021-07-30,144.38,146.33,145.86,144.370148477146,70440626.0,0.0
812,2021-08-02,146.36,146.95,145.52,144.033621324519,62879961.0,0.0
813,2021-08-03,145.81,148.045,147.36,145.854827091679,64786618.0,0.0
814,2021-08-04,147.27,147.79,146.95,145.44901493704,56368271.0,0.0
815,2021-08-05,146.98,147.84,147.06,145.557891368772,46397674.0,0.0
816,2021-08-06,146.35,147.11,146.14,144.865041348657,54126813.0,0.22
817,2021-08-09,146.2,146.7,146.09,144.815477560047,48908689.0,0.0
818,2021-08-10,146.44,147.71,145.6,144.329752431671,69023081.0,0.0
819,2021-08-11,146.05,146.72,145.86,144.587484132442,48493463.0,0.0
820,2021-08-12,146.19,149.05,148.89,147.591049722195,73779113.0,0.0
821,2021-08-13,148.97,149.4444,149.1,147.799217634356,58846293.0,0.0
822,2021-08-16,148.535,151.19,151.12,149.801594694191,103558782.0,0.0
823,2021-08-17,150.23,151.68,150.19,148.879708226049,92229735.0,0.0
824,2021-08-18,149.8,150.72,146.36,145.08312201854,86325990.0,0.0
825,2021-08-19,145.03,148.0,146.7,145.420155781086,86960310.0,0.0
